date,total_confirm,total_dead,total_heal,total_severe,total_suspect,today_confirm,today_dead,today_heal,today_severe,today_storeConfirm,today_suspect,name
2020-01-20,270,6,25,0,0,270,6,25,,,0.0,湖北
2020-01-21,375,9,25,0,0,105,3,0,,,,湖北
2020-01-22,444,17,28,0,0,69,8,3,,,0.0,湖北
2020-01-23,549,24,28,0,710,105,7,0,,,,湖北
2020-01-24,729,39,31,0,1405,180,15,3,,,,湖北
2020-01-25,1052,52,32,0,1887,323,13,1,,,,湖北
2020-01-26,1423,76,42,0,4472,371,24,10,,,,湖北
2020-01-27,2714,100,44,0,5324,1291,24,2,,,,湖北
2020-01-28,3554,125,47,0,6940,840,25,3,,,,湖北
2020-01-29,4586,162,90,0,9033,1032,37,43,,,,湖北
2020-01-30,5806,204,136,0,11272,1220,42,46,,,,湖北
2020-01-31,7153,249,166,0,13577,1347,45,30,,,,湖北
2020-02-01,9074,294,215,0,14872,1921,45,49,,,,湖北
2020-02-02,11177,350,295,0,16898,2103,56,80,,,,湖北
2020-02-03,13522,414,396,0,18549,2345,64,101,,,,湖北
2020-02-04,16678,479,520,0,18447,3156,65,124,,,,湖北
2020-02-05,19665,549,633,0,0,2987,70,113,,,0.0,湖北
2020-02-06,22112,618,817,0,21261,2447,69,184,,,0.0,湖北
2020-02-07,24953,699,1115,0,0,2841,81,298,,,0.0,湖北
2020-02-08,27100,780,1439,0,28942,2147,81,324,0.0,,0.0,湖北
2020-02-09,29631,871,1795,0,0,2531,91,356,,,0.0,湖北
2020-02-10,31728,974,2222,0,0,2097,103,427,,,0.0,湖北
2020-02-11,33366,1068,2639,0,0,1638,94,417,,,0.0,湖北
2020-02-12,47163,1202,3172,0,0,13797,134,533,,,0.0,湖北
2020-02-13,51986,1318,3862,0,0,4823,116,690,,,0.0,湖北
2020-02-14,54401,1457,4774,0,0,2415,139,912,,,0.0,湖北
2020-02-15,56249,1596,5623,0,0,1848,139,849,,,0.0,湖北
2020-02-16,58182,1696,6639,0,0,1933,100,1016,,,0.0,湖北
2020-02-17,59989,1789,7862,0,0,1807,93,1223,,,0.0,湖北
2020-02-18,61682,1921,9128,0,0,1693,132,1266,,,,湖北
2020-02-19,62457,2029,10337,0,0,775,108,1209,,,,湖北
2020-02-20,63088,2144,11790,0,0,631,115,1453,,,,湖北
2020-02-21,63454,2250,13557,0,0,366,106,1767,,,,湖北
2020-02-22,63889,2346,15299,0,0,435,96,1742,,,,湖北
2020-02-23,64287,2495,16738,0,0,398,149,1439,,,,湖北
2020-02-24,64786,2563,18854,0,0,499,68,2116,,,,湖北
2020-02-25,65187,2615,20912,0,0,401,52,2058,,,,湖北
2020-02-26,65596,2641,23200,0,0,409,26,2288,,,,湖北
2020-02-27,65914,2682,26403,0,0,318,41,3203,,,,湖北
2020-02-28,66337,2727,28895,0,0,423,45,2492,,,,湖北
2020-02-29,66907,2761,31187,0,0,570,34,2292,,,,湖北
2020-03-01,67103,2803,33757,0,0,196,42,2570,,,,湖北
2020-03-02,67217,2834,36167,0,0,114,31,2410,,,,湖北
2020-03-03,67332,2871,38556,0,0,115,37,2389,,,,湖北
2020-03-04,67466,2902,40479,0,0,134,31,1923,,,,湖北
2020-03-05,67592,2931,41966,0,0,126,29,1487,,,,湖北
2020-03-06,67666,2959,43468,0,0,74,28,1502,,,,湖北
2020-03-07,67707,2986,45011,0,0,41,27,1543,,,,湖北
2020-03-08,67743,3007,46433,0,0,36,21,1422,,,,湖北
2020-03-09,67760,3024,47585,0,0,17,17,1152,,,,湖北
2020-03-10,67773,3046,49056,0,0,13,22,1471,,,,湖北
2020-03-11,67781,3056,50298,0,0,8,10,1242,,,,湖北
2020-03-12,67786,3062,51553,0,0,5,6,1255,,,,湖北
2020-03-13,67790,3075,52943,0,0,4,13,1390,,,,湖北
2020-03-14,67794,3085,54278,0,0,4,10,1335,,,,湖北
2020-03-15,67798,3099,55094,0,0,4,14,816,,,,湖北
2020-03-16,67799,3111,55987,0,0,1,12,893,,,,湖北
2020-03-17,67800,3122,56883,0,0,1,11,896,,,,湖北
2020-03-18,67800,3130,57678,0,0,0,8,795,,,,湖北
2020-03-19,67800,3132,58381,0,0,0,2,703,0.0,,0.0,湖北
2020-03-20,67800,3139,58942,0,0,0,7,561,,,,湖北
2020-03-21,67800,3144,59432,0,0,0,5,490,,,,湖北
2020-03-22,67800,3153,59879,0,0,0,9,447,,,,湖北
2020-03-23,67801,3160,60323,0,0,1,7,444,,,,湖北
2020-03-24,67801,3163,60810,0,0,0,3,487,,,,湖北
2020-03-25,67801,3169,61201,0,0,0,6,391,,,,湖北
2020-01-23,53,0,0,0,17,53,0,0,,,,广东
2020-01-24,78,0,2,0,18,25,0,2,,,,广东
2020-01-25,98,0,2,0,40,20,0,0,,,,广东
2020-01-26,146,0,2,0,54,48,0,0,,,,广东
2020-01-27,188,0,2,0,73,42,0,0,,,,广东
2020-01-28,241,0,5,0,122,53,0,3,,,,广东
2020-01-29,311,0,8,0,137,70,0,3,,,,广东
2020-01-30,393,0,11,0,151,82,0,3,,,,广东
2020-01-31,520,0,11,0,126,127,0,0,,,,广东
2020-02-01,604,0,12,0,157,84,0,1,,,,广东
2020-02-02,683,0,15,0,205,79,0,3,,,,广东
2020-02-03,797,0,20,0,180,114,0,5,,,,广东
2020-02-04,870,0,32,0,136,73,0,12,,,,广东
2020-02-05,944,0,49,0,0,74,0,17,,,0.0,广东
2020-02-06,1018,1,68,0,170,74,1,19,,,71.0,广东
2020-02-07,1075,1,97,0,170,57,0,29,,,0.0,广东
2020-02-08,1120,1,125,0,0,45,0,28,,,,广东
2020-02-09,1151,1,143,0,0,31,0,18,,,,广东
2020-02-10,1177,1,181,0,0,26,0,38,,,0.0,广东
2020-02-11,1219,1,241,0,0,42,0,60,,,,广东
2020-02-12,1241,2,284,0,0,22,1,43,,,0.0,广东
2020-02-13,1261,2,332,0,0,20,0,48,,,,广东
2020-02-14,1294,2,386,0,0,33,0,54,,,,广东
2020-02-15,1316,2,436,0,0,22,0,50,,,,广东
2020-02-16,1322,4,473,0,0,6,2,37,,,,广东
2020-02-17,1328,4,530,0,0,6,0,57,,,,广东
