id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
9577772,2020-07-01 01:08:30,突尼斯,1174,0,1031,50,0,0.0,2.0,,2.0,0.0,,,
9507896,2020-07-01 00:03:26,塞尔维亚,14564,0,12662,277,0,0.0,276.0,,0.0,0.0,,,
0,2020-07-01 15:28:52,中国,85232,0,80071,4648,0,1918.0,5.0,,17.0,0.0,,-12.0,0.0
1,2020-06-15 07:16:58,日本,18241,0,16298,940,0,0.0,75.0,,63.0,0.0,,,0.0
2,2020-07-01 15:48:53,泰国,3173,0,3059,58,0,0.0,2.0,,3.0,0.0,,,
3,2020-07-01 00:28:29,新加坡,43907,0,38500,26,0,0.0,246.0,,515.0,0.0,,,
4,2020-07-01 11:28:47,韩国,12850,0,11613,282,0,0.0,50.0,,76.0,0.0,,,
5,2020-07-01 15:48:54,澳大利亚,7920,0,7063,104,0,0.0,86.0,,26.0,0.0,,,
6,2020-07-01 16:08:54,德国,195758,0,178100,8993,0,0.0,367.0,,313.0,11.0,,,
7,2020-07-01 09:18:36,美国,2727853,0,1143334,130122,0,0.0,46042.0,,26157.0,764.0,,,
8,2020-07-01 00:03:26,马来西亚,8639,0,8354,121,0,0.0,2.0,,0.0,0.0,,,
9,2020-07-01 00:03:26,越南,355,0,335,0,0,0.0,0.0,,0.0,0.0,,,
89566,2020-06-12 17:03:12,圣巴泰勒米,6,0,6,0,0,,,,,,,,
821,2020-07-01 01:08:30,肯尼亚,6366,0,2039,148,0,0.0,176.0,,26.0,4.0,,,
826,2020-07-01 00:03:26,伊朗,227662,0,188758,10817,0,0.0,2457.0,,0.0,0.0,,,
827,2020-07-01 05:03:31,以色列,25244,0,17341,320,0,0.0,556.0,,69.0,0.0,,,
828,2020-06-09 19:59:04,毛利亚尼亚,16,0,6,2,0,,,,,,,,
829,2020-07-01 00:28:29,黎巴嫩,1778,0,1183,34,0,0.0,33.0,,13.0,0.0,,,
833,2020-07-01 00:03:26,克罗地亚,2777,0,2155,107,0,0.0,52.0,,0.0,0.0,,,
834,2020-07-01 00:03:26,奥地利,17766,0,16478,705,0,0.0,43.0,,0.0,0.0,,,
835,2020-07-01 06:03:35,瑞士,31714,0,29200,1963,0,0.0,62.0,,100.0,0.0,,,
839,2020-07-01 00:28:29,希腊,3409,0,1374,192,0,0.0,19.0,,0.0,1.0,,,
95800,2020-07-01 00:03:26,毛里求斯,341,0,326,10,0,0.0,0.0,,0.0,0.0,,,
845,2020-07-01 00:03:26,爱沙尼亚,1989,0,1829,69,0,0.0,2.0,,0.0,0.0,,,
846,2020-07-01 00:03:26,北马其顿,6334,0,2475,302,0,0.0,125.0,,0.0,0.0,,,
850,2020-07-01 00:03:26,白俄罗斯,62118,0,46054,392,0,0.0,328.0,,0.0,0.0,,,
851,2020-07-01 00:03:26,立陶宛,1817,0,1515,78,0,0.0,1.0,,0.0,0.0,,,
852,2020-07-01 00:28:29,阿塞拜疆,17524,0,9715,213,0,0.0,556.0,,346.0,7.0,,,
875097,2020-06-12 17:06:26,美属维尔京群岛,72,0,46,6,0,,,,,,,,
95826,2020-06-15 13:26:49,蒙古,197,0,98,0,0,,,,,,,,
872,2020-07-01 16:08:55,乌克兰,45924,0,20244,1188,0,0.0,670.0,,452.0,15.0,,,
874,2020-07-01 00:03:26,波兰,34393,0,21281,1463,0,0.0,239.0,,0.0,0.0,,,
879,2020-07-01 00:03:26,波黑,4453,0,2402,186,0,0.0,128.0,,0.0,0.0,,,
